,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
AMD1,2.3084657,0.62339795,0.070278704,0.21971044,1.9320152,0.021847825,0.78282607,0.5565189,0.37303737,0.3269885,0.71839803,0.3053585,1.5298845,1.9676912,0.4221486,0.0,0.3539531,0.771799,0.64246625,1.1405023,1.3723732,0.8112016,0.2851159,0.044426598,0.0107480455,0.10613928
IGFBP7,2.2861485,0.37115657,0.41293886,0.19150144,0.6222909,0.30421486,0.18819375,1.0459304,0.3586371,0.21482027,0.7181517,1.1354817,1.3632244,0.7147475,0.75349593,0.5369364,0.94017935,0.30449653,1.8863316,0.0,0.5238012,1.7234579,0.28920576,0.58270127,0.91893417,0.0
TLE5,2.2794209,0.7789128,0.44206488,0.32046846,0.34388363,0.43957412,0.429938,0.52125955,0.29794797,0.35235772,0.582016,0.73383844,1.6759437,0.45881265,0.80239,0.5448646,0.72687316,0.24781235,1.473829,0.43848926,0.7278749,0.20974363,0.43285358,0.37340197,0.17247999,0.21136332
ARGLU1,2.2789998,0.8621711,0.28136873,0.38689503,0.86329144,0.17737843,0.0,0.373675,0.36895296,0.34582722,0.20881407,0.47403628,0.8457627,0.08091308,0.79738486,0.15382658,0.6022547,0.0,1.0833136,0.56105727,0.6051828,0.619183,0.25760907,0.2656556,0.22295147,0.22546498
FOXA1,2.2748392,0.80591905,0.3652237,0.0,1.9314079,0.11437702,0.6955525,0.65278697,0.38774502,0.6535937,0.27649274,0.11636069,1.125546,1.9981037,0.5338179,0.0,0.12349635,0.6384372,1.082381,0.98847127,1.61419,0.55838126,0.20016122,0.03560495,0.011825547,0.21102072
HDLBP,2.2573645,0.7651343,0.21162502,0.4514537,1.1098578,0.5110357,0.38921362,0.5086642,0.2543555,0.47845334,0.7015762,0.33416006,1.2271734,1.3395015,0.47629568,0.18880627,0.54812247,0.28602004,0.91414964,0.635131,1.0213513,0.3103293,0.09514381,0.4236097,0.061986446,0.19049272
GNAS,2.2518067,0.7918449,0.47574458,0.47279555,0.66194046,0.35460392,0.38939893,0.5022816,0.4343459,0.3457634,0.49574775,0.51186705,1.6584533,0.42936152,0.82180744,0.3149846,0.72441566,0.21705016,1.224229,0.275313,0.66301525,0.36769024,0.20332478,0.40066049,0.25784993,0.17836934
USP22,2.2474306,0.7084649,0.32328838,0.23019288,0.73015314,0.3784679,0.29039457,0.22176374,0.3355646,0.2372135,0.80440974,0.51103246,0.7267848,0.437406,0.44744378,0.30017933,0.6595628,0.034271754,0.5272668,0.62972355,0.31267315,0.578822,0.3045583,0.44109917,0.0,0.12529212
COX6A1,2.2356577,0.6671052,0.29675943,0.5588501,0.709768,0.41434273,0.47508198,0.2463469,0.39520827,0.2762561,0.63472235,0.18336385,1.187543,0.91785944,0.5200754,0.29512486,0.32100767,0.4708831,0.9889986,0.3960779,1.2923114,0.11422432,0.41492411,0.77672464,0.07382724,0.2934925
ACTA2,2.2331789,0.31653225,0.4645829,0.25484243,0.020510545,0.039042093,0.3851697,1.3148685,0.4902181,0.4891496,1.0469093,0.7849539,4.799402,0.30256465,2.133274,1.1903899,2.5626016,0.43296245,4.9857244,0.3545916,1.0706726,0.9077438,0.15076478,1.8051007,0.22606377,0.0
CD9,2.23161,0.9200658,0.6102336,0.2576905,1.8862072,0.22466035,0.36002606,0.51970273,0.45797306,0.91954637,0.30403855,0.73067385,0.98247313,0.8187819,0.38421115,0.11563359,0.0,0.4519404,0.85972345,0.0,0.84628326,0.29544488,0.12160565,0.39044607,0.15449917,0.07942706
NR4A1,2.2291546,0.7936492,0.14378716,0.23662366,0.37602642,0.3608029,0.4814064,0.5027426,1.1579089,0.40395397,0.6022493,0.8032773,3.984361,1.0754118,0.7231946,0.20535915,1.1917636,0.294266,2.0599504,2.072035,0.2455651,0.8797359,0.31533518,0.45030907,0.5354416,0.05268964
PPIB,2.2251196,0.47363657,0.26686153,0.36385155,1.286678,0.13166195,0.3970619,0.46137246,0.34660813,0.1504528,0.8096589,0.31073675,0.81086683,0.9516733,0.4748691,0.24707687,0.65949696,0.16706164,0.5945303,0.56542563,0.9584112,0.59141266,0.35899347,0.12048184,0.03772481,0.14677075
RDH11,2.2141693,0.30922905,0.030718572,0.14316095,2.8448818,0.0018046115,0.6993475,0.5599869,0.38151887,1.2383145,0.70586497,0.19684424,1.7973423,3.4643686,0.59400666,0.036366027,0.6626418,0.3841063,1.2198298,0.03712785,0.6305479,0.28385797,0.28152695,0.0,0.014816678,0.106190115
PDIA6,2.2081704,0.72903407,0.13730535,0.3005285,0.6612362,0.345635,0.3292583,0.3006058,0.3517054,0.2839063,0.7824364,0.0,0.4374628,0.64607024,0.029186446,0.17356415,0.140128,0.26567498,0.36649206,0.44803485,0.19446424,0.31421196,0.3541479,0.3231554,0.1486563,0.29762745
SOD1,2.2021768,0.56371224,0.20560786,0.41562238,0.44241136,0.3380867,0.5222759,0.4441414,0.42224884,0.30507296,0.4602826,0.39477685,0.60697204,0.0011989096,0.86035836,0.36797652,0.19999912,0.36527172,0.6961408,0.14582849,0.360873,0.28564334,0.32993773,0.43073282,0.10229267,0.119608454
UQCRB,2.1919234,0.62176234,0.26119274,0.6509939,0.20118715,0.36072904,0.58931786,0.49158484,0.23092106,0.23268345,0.5524693,0.39374247,1.1104342,0.3441824,0.7059074,0.44177705,0.60768926,0.12762342,1.0455867,0.62387484,1.0083251,0.09041519,0.061179742,0.0,0.12904032,0.4870954
UQCRQ,2.1564615,0.6866992,0.1409511,0.319981,0.67048705,0.31076068,0.62984186,0.25628346,0.2380911,0.3181178,0.5576063,0.16618066,0.57039267,0.5824299,0.574463,0.20670457,0.46956462,0.753945,0.42094868,0.48986447,0.81519866,0.26676401,0.06922142,0.12934284,0.1320894,0.40694955
CALR,2.1539528,0.81497264,0.27848145,0.52870935,1.4759974,0.3348744,0.49735823,0.6436571,0.33339366,0.55256736,0.44593096,0.53953224,1.5733206,1.0923009,0.5191646,0.2746897,0.58687806,0.56040126,0.80992824,0.26747406,0.5349572,0.40839416,0.11884384,0.24893625,0.2121339,0.13838139
TMBIM6,2.145375,0.8232526,0.418356,0.37789586,0.9855292,0.4956032,0.3711416,0.31980813,0.5415913,0.46423393,0.43998098,0.6807739,0.9071496,0.7432497,0.79504806,0.12545449,0.33346236,0.5221651,1.1391917,0.21963334,0.6616666,0.3939308,0.3225184,0.5424206,0.05291481,0.0
GOLPH3,2.1360526,0.71349317,0.08802416,0.014063603,0.9995721,0.2047412,0.36821133,0.42512208,0.45990807,0.33795536,0.59703505,0.278834,0.784538,1.2400389,0.48408204,0.1345028,0.41577175,0.35451844,0.5517446,1.122162,0.42054722,0.4607826,0.1579618,0.0,0.2741013,0.06446563
PMEPA1,2.1282551,0.63374466,0.1666615,0.2811668,2.134263,0.0,0.8337047,0.494206,0.27785796,0.6830116,0.5152828,0.33393294,1.4562582,1.9039968,0.2785816,0.043873377,0.32830113,0.42720547,0.947035,0.37727115,0.7809589,0.49592063,0.04522026,0.14169149,0.11549479,0.2471819
CMPK1,2.10951,0.76697296,0.27638277,0.17637014,0.45382687,0.5674598,0.43564042,0.5035998,0.13841449,0.13610323,0.61073613,0.30558804,0.46823326,0.46673685,0.42445934,0.10763101,0.32216755,0.48491058,0.7016638,0.427229,0.31677482,0.057800677,0.08715171,0.0,0.15371273,0.28100622
PCBP1,2.1082287,0.7841165,0.30493903,0.48129913,0.22532871,0.37577254,0.34873295,0.18260023,0.4939853,0.19720837,0.85524803,0.50997967,0.7334104,0.003790299,0.5353618,0.3436167,0.08132656,0.05608587,0.39623997,0.4953676,0.86291337,0.39280924,0.4089454,0.80150175,0.23287965,0.29349852
SEC11C,2.0820193,0.3641049,0.1115,0.20993207,2.7378201,0.0,0.51144344,0.4641458,0.29110172,0.195313,0.82711357,0.12629472,1.1209648,2.7872374,0.43456697,0.0,0.24022265,0.5200871,0.5319381,0.39272803,0.9210716,0.742492,0.13327317,0.0,0.0,0.011185824
TAGLN,2.0776544,0.4253307,0.4168428,0.24847293,0.0,0.0,0.3548158,1.3245407,0.54023045,0.40017608,1.0135616,0.8394585,4.9454722,0.26204038,2.1277366,1.2315232,2.376745,0.47972453,5.0062547,0.17594612,1.1987116,0.69904757,0.21735676,1.6650186,0.1568428,0.0
CHCHD2,2.076097,0.5347012,0.25274795,0.41837722,0.97026926,0.32364094,0.4741269,0.41396603,0.30658084,0.5730701,0.6124997,0.41540638,1.1484104,0.95459515,0.54545844,0.41688251,0.47091106,0.21044767,0.9623241,0.59345746,1.1001006,0.44124407,0.19110005,0.51580554,0.094831854,0.33902636
COX7C,2.0626142,0.95012355,0.3093805,0.4970686,0.6243697,0.25383374,0.51077104,0.4307211,0.3368477,0.09977251,0.6666081,0.2623475,0.99571335,0.55706775,0.6248363,0.50071377,0.6291979,0.30841994,1.3507162,0.28785324,1.2653964,0.114007436,0.35757262,0.36734167,0.12780942,0.48900807
NFIB,2.0606947,1.091987,0.6873421,0.09394622,0.30626246,0.2857094,0.02059107,0.18949123,0.31618842,0.3578715,0.2856296,0.44749326,0.7207671,0.454128,0.7953188,0.0,0.7206669,0.19771174,0.32752413,0.01800097,0.9808275,0.16435634,0.118720956,0.22271518,0.22334817,0.21201631
HIST1H2BD,2.0483277,1.0045878,0.50319046,0.18201895,0.2520501,0.54905444,0.25433564,0.39166862,0.41426682,0.60304636,0.29256684,0.48815706,0.0,0.12167436,0.0,0.05269123,0.073905565,0.08366523,0.17634618,0.26023892,1.915166,0.0010997687,0.18349044,0.25558263,0.0,0.25070086
SQSTM1,2.0313942,0.6392331,0.6841446,0.39777336,0.7999318,0.47237676,0.5524192,0.48741612,0.6022906,0.45047265,0.76777834,0.8889035,2.0766258,0.5286158,1.089967,0.40454122,1.024459,0.1953387,1.7457623,0.56006205,0.48759177,0.55013984,0.25468418,0.41568106,0.21171916,0.08744216
RBM3,2.0198157,0.64737195,0.38072646,0.30677193,1.1299802,0.08717972,0.27174354,0.42279264,0.11895617,0.081378795,0.17918892,0.5210357,1.1214375,1.2746459,0.39496595,0.41690505,0.64101046,0.37772706,1.2727668,0.44587412,1.5326034,0.25660133,0.18423209,0.031373896,0.22140935,0.1838348
EDF1,2.0166533,0.6281696,0.35068431,0.41807285,0.85276836,0.33340523,0.36364225,0.3304937,0.332334,0.21189246,0.66128135,0.46906552,0.7433736,0.7414375,0.52107817,0.2340024,0.46830755,0.2690867,0.733832,0.6100663,1.0139998,0.24416077,0.080218226,0.21676974,0.16721624,0.21530262
HINT1,2.0143638,1.02988,0.04136576,0.63425845,0.80890584,0.27437705,0.3960842,0.47882953,0.15730372,0.32418314,0.5489292,0.15653852,0.5645097,0.51807636,0.34911552,0.109474055,0.08320208,0.17028092,0.48262125,0.2816054,1.3770814,0.21584268,0.2808506,0.29282352,0.0111287525,0.17956427
CANX,2.0138466,0.46552715,0.289885,0.43238053,1.0934055,0.42596167,0.21568704,0.4654224,0.3963868,0.17512831,0.8032695,0.5176731,0.8757737,1.1970787,0.5831199,0.2754119,0.25120458,0.27816117,0.48059005,0.43992397,1.4784145,0.25911158,0.33515757,0.30921242,0.052390806,0.14875445
